n = 1 | d = 1 | goodJ.size() = 0 | err = 0.0
n = 131 | d = 251 | goodJ.size() = 5 | err = 0.41221374045801523
n = 131 | d = 261 | goodJ.size() = 11 | err = 0.46564885496183206
n = 131 | d = 271 | goodJ.size() = 8 | err = 0.5572519083969465
n = 131 | d = 281 | goodJ.size() = 6 | err = 0.5190839694656488
n = 131 | d = 291 | goodJ.size() = 11 | err = 0.42748091603053434
n = 131 | d = 301 | goodJ.size() = 4 | err = 0.4809160305343511
n = 131 | d = 311 | goodJ.size() = 4 | err = 0.5343511450381679
n = 131 | d = 321 | goodJ.size() = 8 | err = 0.5343511450381679
n = 131 | d = 331 | goodJ.size() = 7 | err = 0.4809160305343511
n = 131 | d = 341 | goodJ.size() = 8 | err = 0.5343511450381679
n = 131 | d = 351 | goodJ.size() = 7 | err = 0.48854961832061067
n = 131 | d = 361 | goodJ.size() = 8 | err = 0.4351145038167939
n = 131 | d = 371 | goodJ.size() = 9 | err = 0.4809160305343511
n = 131 | d = 381 | goodJ.size() = 10 | err = 0.5190839694656488
n = 131 | d = 391 | goodJ.size() = 11 | err = 0.4809160305343511
n = 131 | d = 401 | goodJ.size() = 7 | err = 0.5114503816793893
n = 131 | d = 411 | goodJ.size() = 12 | err = 0.5725190839694656
n = 131 | d = 421 | goodJ.size() = 11 | err = 0.5419847328244275
n = 131 | d = 431 | goodJ.size() = 11 | err = 0.4809160305343511
n = 131 | d = 441 | goodJ.size() = 10 | err = 0.549618320610687
n = 131 | d = 451 | goodJ.size() = 11 | err = 0.5038167938931297
n = 131 | d = 461 | goodJ.size() = 16 | err = 0.5419847328244275
n = 131 | d = 471 | goodJ.size() = 16 | err = 0.48854961832061067
n = 131 | d = 481 | goodJ.size() = 12 | err = 0.4809160305343511
n = 131 | d = 491 | goodJ.size() = 13 | err = 0.48854961832061067
n = 131 | d = 501 | goodJ.size() = 19 | err = 0.5114503816793893
n = 131 | d = 511 | goodJ.size() = 23 | err = 0.5343511450381679
n = 131 | d = 521 | goodJ.size() = 9 | err = 0.4580152671755725
n = 131 | d = 531 | goodJ.size() = 13 | err = 0.5114503816793893
n = 131 | d = 541 | goodJ.size() = 13 | err = 0.48854961832061067
n = 131 | d = 551 | goodJ.size() = 8 | err = 0.5114503816793893
n = 131 | d = 561 | goodJ.size() = 13 | err = 0.5343511450381679
n = 131 | d = 571 | goodJ.size() = 11 | err = 0.5419847328244275
n = 131 | d = 581 | goodJ.size() = 17 | err = 0.5343511450381679
n = 131 | d = 591 | goodJ.size() = 15 | err = 0.4351145038167939
n = 131 | d = 601 | goodJ.size() = 17 | err = 0.5572519083969465
n = 131 | d = 611 | goodJ.size() = 15 | err = 0.4580152671755725
n = 131 | d = 621 | goodJ.size() = 13 | err = 0.5343511450381679
n = 131 | d = 631 | goodJ.size() = 16 | err = 0.5572519083969465
n = 131 | d = 641 | goodJ.size() = 20 | err = 0.564885496183206
n = 131 | d = 651 | goodJ.size() = 13 | err = 0.5190839694656488
n = 131 | d = 661 | goodJ.size() = 8 | err = 0.5343511450381679
n = 131 | d = 671 | goodJ.size() = 17 | err = 0.5190839694656488
n = 131 | d = 681 | goodJ.size() = 14 | err = 0.5419847328244275
n = 131 | d = 691 | goodJ.size() = 24 | err = 0.5114503816793893
n = 131 | d = 701 | goodJ.size() = 16 | err = 0.3969465648854962
n = 131 | d = 711 | goodJ.size() = 14 | err = 0.4809160305343511
n = 131 | d = 721 | goodJ.size() = 19 | err = 0.6030534351145038
n = 131 | d = 731 | goodJ.size() = 20 | err = 0.4809160305343511
n = 131 | d = 741 | goodJ.size() = 20 | err = 0.5343511450381679
n = 131 | d = 751 | goodJ.size() = 19 | err = 0.564885496183206
n = 131 | d = 761 | goodJ.size() = 25 | err = 0.366412213740458
n = 131 | d = 771 | goodJ.size() = 18 | err = 0.5190839694656488
n = 131 | d = 781 | goodJ.size() = 18 | err = 0.4580152671755725
n = 131 | d = 791 | goodJ.size() = 20 | err = 0.549618320610687
n = 131 | d = 801 | goodJ.size() = 29 | err = 0.5801526717557252
n = 131 | d = 811 | goodJ.size() = 31 | err = 0.5419847328244275
n = 131 | d = 821 | goodJ.size() = 31 | err = 0.4580152671755725
n = 131 | d = 831 | goodJ.size() = 22 | err = 0.4198473282442748
n = 131 | d = 841 | goodJ.size() = 23 | err = 0.5267175572519084
n = 131 | d = 851 | goodJ.size() = 22 | err = 0.42748091603053434
n = 131 | d = 861 | goodJ.size() = 21 | err = 0.5801526717557252
n = 131 | d = 871 | goodJ.size() = 20 | err = 0.48854961832061067
n = 131 | d = 881 | goodJ.size() = 25 | err = 0.4427480916030534
n = 131 | d = 891 | goodJ.size() = 21 | err = 0.549618320610687
n = 131 | d = 901 | goodJ.size() = 22 | err = 0.4809160305343511
n = 131 | d = 911 | goodJ.size() = 32 | err = 0.48854961832061067
n = 131 | d = 921 | goodJ.size() = 25 | err = 0.5572519083969465
n = 131 | d = 931 | goodJ.size() = 26 | err = 0.366412213740458
n = 131 | d = 941 | goodJ.size() = 25 | err = 0.5114503816793893
n = 131 | d = 951 | goodJ.size() = 21 | err = 0.47328244274809156
n = 131 | d = 961 | goodJ.size() = 33 | err = 0.549618320610687
n = 131 | d = 971 | goodJ.size() = 30 | err = 0.5190839694656488
n = 131 | d = 981 | goodJ.size() = 29 | err = 0.564885496183206
n = 131 | d = 991 | goodJ.size() = 31 | err = 0.47328244274809156
n = 141 | d = 1 | goodJ.size() = 0 | err = 0.41843971631205673
n = 141 | d = 11 | goodJ.size() = 0 | err = 0.49645390070921985
n = 141 | d = 21 | goodJ.size() = 0 | err = 0.425531914893617
n = 141 | d = 31 | goodJ.size() = 2 | err = 0.48936170212765956
n = 141 | d = 41 | goodJ.size() = 2 | err = 0.48226950354609927
n = 141 | d = 51 | goodJ.size() = 1 | err = 0.47517730496453897
n = 141 | d = 61 | goodJ.size() = 1 | err = 0.46808510638297873
n = 141 | d = 71 | goodJ.size() = 0 | err = 0.45390070921985815
n = 141 | d = 81 | goodJ.size() = 1 | err = 0.45390070921985815
n = 141 | d = 91 | goodJ.size() = 1 | err = 0.5815602836879432
n = 141 | d = 101 | goodJ.size() = 4 | err = 0.46099290780141844
n = 141 | d = 111 | goodJ.size() = 1 | err = 0.375886524822695
n = 141 | d = 121 | goodJ.size() = 4 | err = 0.5319148936170213
n = 141 | d = 131 | goodJ.size() = 3 | err = 0.5319148936170213
n = 141 | d = 141 | goodJ.size() = 2 | err = 0.48226950354609927
n = 141 | d = 151 | goodJ.size() = 3 | err = 0.5744680851063829
n = 141 | d = 161 | goodJ.size() = 3 | err = 0.48936170212765956
n = 141 | d = 171 | goodJ.size() = 2 | err = 0.5106382978723404
n = 141 | d = 181 | goodJ.size() = 4 | err = 0.43971631205673756
n = 141 | d = 191 | goodJ.size() = 3 | err = 0.45390070921985815
n = 141 | d = 201 | goodJ.size() = 5 | err = 0.48226950354609927
n = 141 | d = 211 | goodJ.size() = 3 | err = 0.5035460992907801
n = 141 | d = 221 | goodJ.size() = 2 | err = 0.5673758865248226
n = 141 | d = 231 | goodJ.size() = 7 | err = 0.48226950354609927
n = 141 | d = 241 | goodJ.size() = 3 | err = 0.5460992907801419
n = 141 | d = 251 | goodJ.size() = 6 | err = 0.5035460992907801
n = 141 | d = 261 | goodJ.size() = 5 | err = 0.5815602836879432
n = 141 | d = 271 | goodJ.size() = 4 | err = 0.45390070921985815
n = 141 | d = 281 | goodJ.size() = 5 | err = 0.5602836879432624
n = 141 | d = 291 | goodJ.size() = 6 | err = 0.48936170212765956
n = 141 | d = 301 | goodJ.size() = 7 | err = 0.48936170212765956
n = 141 | d = 311 | goodJ.size() = 9 | err = 0.49645390070921985
n = 141 | d = 321 | goodJ.size() = 3 | err = 0.5602836879432624
n = 141 | d = 331 | goodJ.size() = 2 | err = 0.44680851063829785
n = 141 | d = 341 | goodJ.size() = 5 | err = 0.46808510638297873
n = 141 | d = 351 | goodJ.size() = 6 | err = 0.49645390070921985
n = 141 | d = 361 | goodJ.size() = 11 | err = 0.48226950354609927
n = 141 | d = 371 | goodJ.size() = 10 | err = 0.5106382978723404
n = 141 | d = 381 | goodJ.size() = 12 | err = 0.5319148936170213
n = 141 | d = 391 | goodJ.size() = 12 | err = 0.524822695035461
n = 141 | d = 401 | goodJ.size() = 14 | err = 0.5531914893617021
n = 141 | d = 411 | goodJ.size() = 5 | err = 0.48226950354609927
n = 141 | d = 421 | goodJ.size() = 12 | err = 0.48226950354609927
n = 141 | d = 431 | goodJ.size() = 13 | err = 0.5035460992907801
n = 141 | d = 441 | goodJ.size() = 12 | err = 0.48936170212765956
n = 141 | d = 451 | goodJ.size() = 14 | err = 0.48936170212765956
n = 141 | d = 461 | goodJ.size() = 10 | err = 0.41843971631205673
n = 141 | d = 471 | goodJ.size() = 15 | err = 0.5035460992907801
n = 141 | d = 481 | goodJ.size() = 7 | err = 0.48936170212765956
n = 141 | d = 491 | goodJ.size() = 14 | err = 0.48936170212765956
n = 141 | d = 501 | goodJ.size() = 13 | err = 0.47517730496453897
n = 141 | d = 511 | goodJ.size() = 12 | err = 0.5460992907801419
n = 141 | d = 521 | goodJ.size() = 8 | err = 0.5673758865248226
n = 141 | d = 531 | goodJ.size() = 15 | err = 0.41843971631205673
n = 141 | d = 541 | goodJ.size() = 14 | err = 0.43971631205673756
n = 141 | d = 551 | goodJ.size() = 13 | err = 0.5390070921985816
n = 141 | d = 561 | goodJ.size() = 18 | err = 0.5531914893617021
n = 141 | d = 571 | goodJ.size() = 12 | err = 0.48936170212765956
n = 141 | d = 581 | goodJ.size() = 15 | err = 0.44680851063829785
n = 141 | d = 591 | goodJ.size() = 11 | err = 0.5319148936170213
n = 141 | d = 601 | goodJ.size() = 17 | err = 0.4326241134751773
n = 141 | d = 611 | goodJ.size() = 13 | err = 0.5390070921985816
n = 141 | d = 621 | goodJ.size() = 12 | err = 0.46099290780141844
n = 141 | d = 631 | goodJ.size() = 17 | err = 0.46808510638297873
n = 141 | d = 641 | goodJ.size() = 9 | err = 0.5035460992907801
n = 141 | d = 651 | goodJ.size() = 8 | err = 0.49645390070921985
n = 141 | d = 661 | goodJ.size() = 14 | err = 0.48936170212765956
n = 141 | d = 671 | goodJ.size() = 15 | err = 0.46099290780141844
n = 141 | d = 681 | goodJ.size() = 9 | err = 0.47517730496453897
n = 141 | d = 691 | goodJ.size() = 20 | err = 0.5106382978723404
n = 141 | d = 701 | goodJ.size() = 14 | err = 0.49645390070921985
n = 141 | d = 711 | goodJ.size() = 14 | err = 0.46808510638297873
n = 141 | d = 721 | goodJ.size() = 16 | err = 0.46808510638297873
n = 141 | d = 731 | goodJ.size() = 17 | err = 0.49645390070921985
n = 141 | d = 741 | goodJ.size() = 13 | err = 0.524822695035461
n = 141 | d = 751 | goodJ.size() = 16 | err = 0.44680851063829785
n = 141 | d = 761 | goodJ.size() = 17 | err = 0.46099290780141844
n = 141 | d = 771 | goodJ.size() = 21 | err = 0.5035460992907801
n = 141 | d = 781 | goodJ.size() = 13 | err = 0.44680851063829785
n = 141 | d = 791 | goodJ.size() = 20 | err = 0.49645390070921985
n = 141 | d = 801 | goodJ.size() = 12 | err = 0.5106382978723404
n = 141 | d = 811 | goodJ.size() = 26 | err = 0.46808510638297873
n = 141 | d = 821 | goodJ.size() = 15 | err = 0.5815602836879432
n = 141 | d = 831 | goodJ.size() = 28 | err = 0.5390070921985816
n = 141 | d = 841 | goodJ.size() = 19 | err = 0.5886524822695035
n = 141 | d = 851 | goodJ.size() = 15 | err = 0.46099290780141844
n = 141 | d = 861 | goodJ.size() = 20 | err = 0.524822695035461
n = 141 | d = 871 | goodJ.size() = 13 | err = 0.49645390070921985
n = 141 | d = 881 | goodJ.size() = 19 | err = 0.5177304964539007
n = 141 | d = 891 | goodJ.size() = 16 | err = 0.524822695035461
n = 141 | d = 901 | goodJ.size() = 17 | err = 0.49645390070921985
n = 141 | d = 911 | goodJ.size() = 28 | err = 0.44680851063829785
n = 141 | d = 921 | goodJ.size() = 16 | err = 0.43971631205673756
n = 141 | d = 931 | goodJ.size() = 20 | err = 0.45390070921985815
n = 141 | d = 941 | goodJ.size() = 28 | err = 0.46808510638297873
n = 141 | d = 951 | goodJ.size() = 21 | err = 0.49645390070921985
n = 141 | d = 961 | goodJ.size() = 23 | err = 0.5035460992907801
n = 141 | d = 971 | goodJ.size() = 27 | err = 0.48936170212765956
n = 141 | d = 981 | goodJ.size() = 22 | err = 0.48226950354609927
n = 141 | d = 991 | goodJ.size() = 22 | err = 0.49645390070921985
n = 151 | d = 1 | goodJ.size() = 0 | err = 0.44370860927152317
n = 151 | d = 11 | goodJ.size() = 1 | err = 0.44370860927152317
n = 151 | d = 21 | goodJ.size() = 0 | err = 0.5364238410596026
n = 151 | d = 31 | goodJ.size() = 2 | err = 0.5364238410596026
n = 151 | d = 41 | goodJ.size() = 0 | err = 0.5033112582781457
n = 151 | d = 51 | goodJ.size() = 3 | err = 0.543046357615894
n = 151 | d = 61 | goodJ.size() = 2 | err = 0.5496688741721855
n = 151 | d = 71 | goodJ.size() = 1 | err = 0.44370860927152317
n = 151 | d = 81 | goodJ.size() = 5 | err = 0.5231788079470199
n = 151 | d = 91 | goodJ.size() = 1 | err = 0.4900662251655629
n = 151 | d = 101 | goodJ.size() = 4 | err = 0.46357615894039733
n = 151 | d = 111 | goodJ.size() = 5 | err = 0.4900662251655629
n = 151 | d = 121 | goodJ.size() = 2 | err = 0.4966887417218543
n = 151 | d = 131 | goodJ.size() = 2 | err = 0.5695364238410596
n = 151 | d = 141 | goodJ.size() = 5 | err = 0.4900662251655629
n = 151 | d = 151 | goodJ.size() = 2 | err = 0.5496688741721855
n = 151 | d = 161 | goodJ.size() = 0 | err = 0.5231788079470199
n = 151 | d = 171 | goodJ.size() = 2 | err = 0.4900662251655629
n = 151 | d = 181 | goodJ.size() = 5 | err = 0.4900662251655629
n = 151 | d = 191 | goodJ.size() = 3 | err = 0.543046357615894
n = 151 | d = 201 | goodJ.size() = 7 | err = 0.44370860927152317
n = 151 | d = 211 | goodJ.size() = 10 | err = 0.4768211920529801
n = 151 | d = 221 | goodJ.size() = 2 | err = 0.5099337748344371
n = 151 | d = 231 | goodJ.size() = 5 | err = 0.5165562913907285
n = 151 | d = 241 | goodJ.size() = 3 | err = 0.4966887417218543
n = 151 | d = 251 | goodJ.size() = 9 | err = 0.5364238410596026
n = 151 | d = 261 | goodJ.size() = 7 | err = 0.5827814569536424
n = 151 | d = 271 | goodJ.size() = 7 | err = 0.4966887417218543
n = 151 | d = 281 | goodJ.size() = 10 | err = 0.4900662251655629
n = 151 | d = 291 | goodJ.size() = 5 | err = 0.4900662251655629
n = 151 | d = 301 | goodJ.size() = 4 | err = 0.4370860927152318
n = 151 | d = 311 | goodJ.size() = 10 | err = 0.4768211920529801
n = 151 | d = 321 | goodJ.size() = 11 | err = 0.46357615894039733
n = 151 | d = 331 | goodJ.size() = 6 | err = 0.5298013245033113
n = 151 | d = 341 | goodJ.size() = 9 | err = 0.4900662251655629
n = 151 | d = 351 | goodJ.size() = 8 | err = 0.4900662251655629
n = 151 | d = 361 | goodJ.size() = 17 | err = 0.45695364238410596
n = 151 | d = 371 | goodJ.size() = 13 | err = 0.543046357615894
n = 151 | d = 381 | goodJ.size() = 9 | err = 0.543046357615894
n = 151 | d = 391 | goodJ.size() = 11 | err = 0.46357615894039733
n = 151 | d = 401 | goodJ.size() = 11 | err = 0.4370860927152318
n = 151 | d = 411 | goodJ.size() = 15 | err = 0.5033112582781457
n = 151 | d = 421 | goodJ.size() = 10 | err = 0.5231788079470199
n = 151 | d = 431 | goodJ.size() = 7 | err = 0.5099337748344371
n = 151 | d = 441 | goodJ.size() = 12 | err = 0.5496688741721855
n = 151 | d = 451 | goodJ.size() = 17 | err = 0.4966887417218543
n = 151 | d = 461 | goodJ.size() = 7 | err = 0.4768211920529801
n = 151 | d = 471 | goodJ.size() = 10 | err = 0.46357615894039733
n = 151 | d = 481 | goodJ.size() = 16 | err = 0.48344370860927155
n = 151 | d = 491 | goodJ.size() = 19 | err = 0.46357615894039733
n = 151 | d = 501 | goodJ.size() = 12 | err = 0.5033112582781457
n = 151 | d = 511 | goodJ.size() = 10 | err = 0.5298013245033113
n = 151 | d = 521 | goodJ.size() = 13 | err = 0.45695364238410596
n = 151 | d = 531 | goodJ.size() = 13 | err = 0.45695364238410596
n = 151 | d = 541 | goodJ.size() = 6 | err = 0.5231788079470199
n = 151 | d = 551 | goodJ.size() = 13 | err = 0.46357615894039733
n = 151 | d = 561 | goodJ.size() = 12 | err = 0.5099337748344371
n = 151 | d = 571 | goodJ.size() = 19 | err = 0.47019867549668876
n = 151 | d = 581 | goodJ.size() = 16 | err = 0.5629139072847682
n = 151 | d = 591 | goodJ.size() = 20 | err = 0.5165562913907285
n = 151 | d = 601 | goodJ.size() = 16 | err = 0.45695364238410596
n = 151 | d = 611 | goodJ.size() = 15 | err = 0.4900662251655629
n = 151 | d = 621 | goodJ.size() = 17 | err = 0.5298013245033113
n = 151 | d = 631 | goodJ.size() = 12 | err = 0.5894039735099338
n = 151 | d = 641 | goodJ.size() = 18 | err = 0.5033112582781457
n = 151 | d = 651 | goodJ.size() = 18 | err = 0.543046357615894
n = 151 | d = 661 | goodJ.size() = 17 | err = 0.5165562913907285
n = 151 | d = 671 | goodJ.size() = 15 | err = 0.4900662251655629
n = 151 | d = 681 | goodJ.size() = 20 | err = 0.47019867549668876
n = 151 | d = 691 | goodJ.size() = 23 | err = 0.5099337748344371
n = 151 | d = 701 | goodJ.size() = 11 | err = 0.5496688741721855
n = 151 | d = 711 | goodJ.size() = 17 | err = 0.5033112582781457
n = 151 | d = 721 | goodJ.size() = 14 | err = 0.5298013245033113
n = 151 | d = 731 | goodJ.size() = 16 | err = 0.4966887417218543
n = 151 | d = 741 | goodJ.size() = 20 | err = 0.5033112582781457
n = 151 | d = 751 | goodJ.size() = 18 | err = 0.4900662251655629
n = 151 | d = 761 | goodJ.size() = 19 | err = 0.47019867549668876
n = 151 | d = 771 | goodJ.size() = 19 | err = 0.4966887417218543
n = 151 | d = 781 | goodJ.size() = 21 | err = 0.543046357615894
n = 151 | d = 791 | goodJ.size() = 28 | err = 0.5298013245033113
n = 151 | d = 801 | goodJ.size() = 22 | err = 0.5364238410596026
n = 151 | d = 811 | goodJ.size() = 18 | err = 0.5165562913907285
n = 151 | d = 821 | goodJ.size() = 14 | err = 0.5562913907284768
n = 151 | d = 831 | goodJ.size() = 15 | err = 0.5165562913907285
n = 151 | d = 841 | goodJ.size() = 26 | err = 0.4900662251655629
n = 151 | d = 851 | goodJ.size() = 16 | err = 0.4304635761589404
n = 151 | d = 861 | goodJ.size() = 23 | err = 0.5099337748344371
n = 151 | d = 871 | goodJ.size() = 20 | err = 0.4503311258278146
n = 151 | d = 881 | goodJ.size() = 19 | err = 0.47019867549668876
n = 151 | d = 891 | goodJ.size() = 19 | err = 0.5231788079470199
n = 151 | d = 901 | goodJ.size() = 24 | err = 0.44370860927152317
n = 151 | d = 911 | goodJ.size() = 21 | err = 0.5165562913907285
n = 151 | d = 921 | goodJ.size() = 30 | err = 0.45695364238410596
n = 151 | d = 931 | goodJ.size() = 34 | err = 0.4768211920529801
n = 151 | d = 941 | goodJ.size() = 23 | err = 0.5033112582781457
n = 151 | d = 951 | goodJ.size() = 28 | err = 0.4966887417218543
n = 151 | d = 961 | goodJ.size() = 27 | err = 0.5231788079470199
n = 151 | d = 971 | goodJ.size() = 30 | err = 0.5165562913907285
n = 151 | d = 981 | goodJ.size() = 24 | err = 0.4768211920529801
n = 151 | d = 991 | goodJ.size() = 34 | err = 0.5298013245033113
n = 161 | d = 1 | goodJ.size() = 0 | err = 0.43478260869565216
n = 161 | d = 11 | goodJ.size() = 1 | err = 0.5093167701863354
n = 161 | d = 21 | goodJ.size() = 1 | err = 0.4906832298136646
n = 161 | d = 31 | goodJ.size() = 0 | err = 0.49689440993788814
n = 161 | d = 41 | goodJ.size() = 0 | err = 0.47204968944099374
n = 161 | d = 51 | goodJ.size() = 0 | err = 0.4906832298136646
n = 161 | d = 61 | goodJ.size() = 2 | err = 0.49689440993788814
n = 161 | d = 71 | goodJ.size() = 0 | err = 0.4906832298136646
n = 161 | d = 81 | goodJ.size() = 2 | err = 0.5031055900621118
n = 161 | d = 91 | goodJ.size() = 3 | err = 0.5341614906832298
n = 161 | d = 101 | goodJ.size() = 2 | err = 0.5093167701863354
n = 161 | d = 111 | goodJ.size() = 2 | err = 0.48447204968944096
n = 161 | d = 121 | goodJ.size() = 2 | err = 0.5527950310559006
n = 161 | d = 131 | goodJ.size() = 2 | err = 0.4906832298136646
n = 161 | d = 141 | goodJ.size() = 0 | err = 0.5714285714285714
n = 161 | d = 151 | goodJ.size() = 1 | err = 0.5714285714285714
n = 161 | d = 161 | goodJ.size() = 3 | err = 0.5031055900621118
n = 161 | d = 171 | goodJ.size() = 3 | err = 0.49689440993788814
n = 161 | d = 181 | goodJ.size() = 2 | err = 0.45341614906832295
n = 161 | d = 191 | goodJ.size() = 9 | err = 0.44720496894409933
n = 161 | d = 201 | goodJ.size() = 9 | err = 0.49689440993788814
n = 161 | d = 211 | goodJ.size() = 2 | err = 0.4409937888198757
n = 161 | d = 221 | goodJ.size() = 5 | err = 0.47826086956521735
n = 161 | d = 231 | goodJ.size() = 6 | err = 0.5031055900621118
n = 161 | d = 241 | goodJ.size() = 6 | err = 0.5093167701863354
n = 161 | d = 251 | goodJ.size() = 8 | err = 0.5465838509316769
n = 161 | d = 261 | goodJ.size() = 1 | err = 0.4906832298136646
n = 161 | d = 271 | goodJ.size() = 9 | err = 0.40993788819875776
n = 161 | d = 281 | goodJ.size() = 5 | err = 0.5652173913043478
n = 161 | d = 291 | goodJ.size() = 4 | err = 0.45341614906832295
n = 161 | d = 301 | goodJ.size() = 8 | err = 0.48447204968944096
n = 161 | d = 311 | goodJ.size() = 6 | err = 0.5031055900621118
n = 161 | d = 321 | goodJ.size() = 6 | err = 0.49689440993788814
n = 161 | d = 331 | goodJ.size() = 5 | err = 0.47204968944099374
n = 161 | d = 341 | goodJ.size() = 7 | err = 0.47204968944099374
n = 161 | d = 351 | goodJ.size() = 6 | err = 0.45962732919254656
n = 161 | d = 361 | goodJ.size() = 8 | err = 0.5465838509316769
n = 161 | d = 371 | goodJ.size() = 7 | err = 0.5279503105590062
n = 161 | d = 381 | goodJ.size() = 8 | err = 0.5279503105590062
n = 161 | d = 391 | goodJ.size() = 12 | err = 0.5341614906832298
n = 161 | d = 401 | goodJ.size() = 3 | err = 0.48447204968944096
n = 161 | d = 411 | goodJ.size() = 6 | err = 0.47826086956521735
n = 161 | d = 421 | goodJ.size() = 12 | err = 0.45962732919254656
n = 161 | d = 431 | goodJ.size() = 12 | err = 0.48447204968944096
n = 161 | d = 441 | goodJ.size() = 5 | err = 0.5031055900621118
n = 161 | d = 451 | goodJ.size() = 3 | err = 0.5279503105590062
n = 161 | d = 461 | goodJ.size() = 4 | err = 0.577639751552795
n = 161 | d = 471 | goodJ.size() = 12 | err = 0.47826086956521735
n = 161 | d = 481 | goodJ.size() = 5 | err = 0.5031055900621118
n = 161 | d = 491 | goodJ.size() = 9 | err = 0.5031055900621118
n = 161 | d = 501 | goodJ.size() = 13 | err = 0.47204968944099374
n = 161 | d = 511 | goodJ.size() = 8 | err = 0.4409937888198757
n = 161 | d = 521 | goodJ.size() = 9 | err = 0.4906832298136646
n = 161 | d = 531 | goodJ.size() = 12 | err = 0.5031055900621118
n = 161 | d = 541 | goodJ.size() = 10 | err = 0.43478260869565216
n = 161 | d = 551 | goodJ.size() = 16 | err = 0.47204968944099374
n = 161 | d = 561 | goodJ.size() = 10 | err = 0.5403726708074533
n = 161 | d = 571 | goodJ.size() = 10 | err = 0.5341614906832298
n = 161 | d = 581 | goodJ.size() = 10 | err = 0.5093167701863354
n = 161 | d = 591 | goodJ.size() = 8 | err = 0.515527950310559
n = 161 | d = 601 | goodJ.size() = 12 | err = 0.5465838509316769
n = 161 | d = 611 | goodJ.size() = 12 | err = 0.5341614906832298
n = 161 | d = 621 | goodJ.size() = 13 | err = 0.45962732919254656
n = 161 | d = 631 | goodJ.size() = 8 | err = 0.4658385093167702
n = 161 | d = 641 | goodJ.size() = 21 | err = 0.5527950310559006
n = 161 | d = 651 | goodJ.size() = 13 | err = 0.49689440993788814
n = 161 | d = 661 | goodJ.size() = 10 | err = 0.5465838509316769
n = 161 | d = 671 | goodJ.size() = 21 | err = 0.5403726708074533
n = 161 | d = 681 | goodJ.size() = 21 | err = 0.47826086956521735
n = 161 | d = 691 | goodJ.size() = 13 | err = 0.5403726708074533
n = 161 | d = 701 | goodJ.size() = 13 | err = 0.48447204968944096
n = 161 | d = 711 | goodJ.size() = 9 | err = 0.45341614906832295
n = 161 | d = 721 | goodJ.size() = 20 | err = 0.4906832298136646
n = 161 | d = 731 | goodJ.size() = 12 | err = 0.42857142857142855
n = 161 | d = 741 | goodJ.size() = 11 | err = 0.5217391304347826
n = 161 | d = 751 | goodJ.size() = 9 | err = 0.5217391304347826
n = 161 | d = 761 | goodJ.size() = 15 | err = 0.4409937888198757
n = 161 | d = 771 | goodJ.size() = 12 | err = 0.48447204968944096
n = 161 | d = 781 | goodJ.size() = 19 | err = 0.5341614906832298
n = 161 | d = 791 | goodJ.size() = 22 | err = 0.45341614906832295
n = 161 | d = 801 | goodJ.size() = 15 | err = 0.515527950310559
n = 161 | d = 811 | goodJ.size() = 18 | err = 0.5031055900621118
n = 161 | d = 821 | goodJ.size() = 18 | err = 0.47826086956521735
n = 161 | d = 831 | goodJ.size() = 11 | err = 0.577639751552795
n = 161 | d = 841 | goodJ.size() = 15 | err = 0.49689440993788814
n = 161 | d = 851 | goodJ.size() = 21 | err = 0.5527950310559006
n = 161 | d = 861 | goodJ.size() = 22 | err = 0.4906832298136646
n = 161 | d = 871 | goodJ.size() = 14 | err = 0.4906832298136646
n = 161 | d = 881 | goodJ.size() = 22 | err = 0.48447204968944096
n = 161 | d = 891 | goodJ.size() = 17 | err = 0.5341614906832298
n = 161 | d = 901 | goodJ.size() = 12 | err = 0.45341614906832295
n = 161 | d = 911 | goodJ.size() = 17 | err = 0.5900621118012422
n = 161 | d = 921 | goodJ.size() = 24 | err = 0.49689440993788814
n = 161 | d = 931 | goodJ.size() = 20 | err = 0.5031055900621118
n = 161 | d = 941 | goodJ.size() = 19 | err = 0.515527950310559
n = 161 | d = 951 | goodJ.size() = 20 | err = 0.515527950310559
n = 161 | d = 961 | goodJ.size() = 19 | err = 0.5590062111801242
n = 161 | d = 971 | goodJ.size() = 19 | err = 0.4409937888198757
n = 161 | d = 981 | goodJ.size() = 19 | err = 0.515527950310559
n = 161 | d = 991 | goodJ.size() = 27 | err = 0.4906832298136646
n = 171 | d = 1 | goodJ.size() = 0 | err = 0.47953216374269003
n = 171 | d = 11 | goodJ.size() = 0 | err = 0.5614035087719298
n = 171 | d = 21 | goodJ.size() = 1 | err = 0.4619883040935672
n = 171 | d = 31 | goodJ.size() = 0 | err = 0.5263157894736842
n = 171 | d = 41 | goodJ.size() = 3 | err = 0.5321637426900585
n = 171 | d = 51 | goodJ.size() = 2 | err = 0.5087719298245614
n = 171 | d = 61 | goodJ.size() = 0 | err = 0.5263157894736842
n = 171 | d = 71 | goodJ.size() = 1 | err = 0.5029239766081871
n = 171 | d = 81 | goodJ.size() = 1 | err = 0.5906432748538011
n = 171 | d = 91 | goodJ.size() = 2 | err = 0.5204678362573099
n = 171 | d = 101 | goodJ.size() = 1 | err = 0.4444444444444444
n = 171 | d = 111 | goodJ.size() = 4 | err = 0.5204678362573099
n = 171 | d = 121 | goodJ.size() = 0 | err = 0.5263157894736842
